id,title,role_bucket,seniority,is_remote_label,skills,salary_mid,state,posted_month,skill,skill_clean
5678954976,"Assistant Vice President, Procurement Analytics & Reporting",BI Analyst,Mid,On-site,excel|r,217000.0,Connecticut,2026-03,excel,Excel
5678954649,"Business Analyst with ETL background- HHSC, Austin",Data Analyst,Mid,On-site,,132623.67,Texas,2026-03,,
5678953799,Senior Digital Analyst,Data Analyst,Senior,On-site,bigquery|r|dbt,94117.3,Virginia,2026-03,bigquery,BigQuery
5678953799,Senior Digital Analyst,Data Analyst,Senior,On-site,bigquery|r|dbt,94117.3,Virginia,2026-03,dbt,dbt
5678943980,"Application Support Engineer (Tampa, Florida)",Data Engineer,Mid,On-site,r|aws|azure,142659.17,Florida,2026-03,aws,AWS
5678943980,"Application Support Engineer (Tampa, Florida)",Data Engineer,Mid,On-site,r|aws|azure,142659.17,Florida,2026-03,azure,Azure
5678943413,Systems Engineer (TS/SCI with Poly Required),Data Engineer,Mid,On-site,excel|r,218011.5,Virginia,2026-03,excel,Excel
5678941992,"Process Development Engineer III, Data Science",Data Engineer,Mid,On-site,r|machine learning,144600.0,New York,2026-03,machine learning,Machine Learning
5679129415,"Senior Analyst, IS Business Intelligence",BI Analyst,Senior,On-site,tableau|r,127182.45,California,2026-03,tableau,Tableau
5679087983,Business Intelligence Analyst,BI Analyst,Mid,On-site,power bi|r,140125.69,Unknown,2026-03,power bi,Power BI
5678757854,Lead Business Intelligence Analyst,BI Analyst,Senior,Remote,tableau|r,102330.5,Unknown,2026-03,tableau,Tableau
5678536937,Business Intelligence Analyst,BI Analyst,Mid,On-site,power bi|r,108109.77,Florida,2026-03,power bi,Power BI
